"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"803","Voices","Claire Hamill","uk","1986","No","No","803","8053","69390","5","74.678230286","2","114196","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=114196&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"806","Remote Dreaming","The Ghostwriters","us","1986","No","No","806","8069","69558","5","71.921707153","1","125992","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=125992&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"807","Counting The Days","The Sound","uk","1986","Yes","No","807","8090","69699","5","73.844894409","2","195021","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=195021&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"808","Golden Hits","The Platters","us","1986","Yes","No","808","8094","69734","5","75.094894409","2","153348","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=153348&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"809","13th Anniversary Show - Live In Japan","The Residents","us","1986","No","Yes","809","8106","69885","5","73.075920105","5","71005","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=71005&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"810","Boink!!","The Replacements","us","1986","Yes","No","810","8118","70006","5","72.285484314","8","103139","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=103139&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"811","The Country Of Blinds","The Skeleton Crew","us","1986","No","No","811","8124","70041","5","73.739891052","1","50166","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=50166&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"812","Staircase To Nowhere","Various Artists","un","1986","No","No","812","8129","70097","5","75.103523254","1","103285","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=103285&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"812","Stanley Kubrick's Full Metal Jacket - Original Motion Picture Soundtrack","Various Artists","un","1986","Yes","No","812","8129","70097","5","-1","0","147029","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=147029&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"812","Master Strokes 1978-1985","Bill Bruford","uk","1986","No","No","812","8129","70097","5","72.395294189","3","21761","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=21761&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
