Rank,Title,Band,Country,Year,Compilation,Live,YearRank,DecadeRank,OverallRank,RankScore,AvgRating,NumRatings,AlbumID,Notes
91,Born In The U.S.A.,Bruce Springsteen,us,1984,No,No,4,24,201,8313,78.00426483,1286,53,
92,Rum Sodomy & The Lash,The Pogues,uk,1985,No,No,10,89,590,3020,78.45104981,389,1233,
93,Control,Janet Jackson,us,1986,No,No,26,297,1917,876,71.30228424,198,1535,
94,Pornography,The Cure,uk,1982,No,No,4,39,306,5941,80.15436554,941,1119,
95,Forever Breathes The Lonely Word,Felt,uk,1986,No,No,49,481,3132,480,79.18675995,84,4999,
96,Infected,The The,uk,1986,No,No,23,261,1674,1025,74.00225067,158,1485,
97,Meat Is Murder,The Smiths,uk,1985,No,No,4,32,253,6945,81.77503967,1246,257,
98,The Colour Of Spring,Talk Talk,uk,1986,No,No,6,60,428,4219,80.24787903,544,283,
99,Reckoning,R.E.M.,us,1984,No,No,15,81,534,3425,79.62028503,660,5204,
100,Album,Public Image Ltd.,uk,1986,No,No,60,655,4413,319,74.34098816,83,6375,
